experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,20,69,67,0.02898550724637683,1.0000000000000009,exact,True,0.0029828548431396484,195,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,20,69,57,0.17391304347826086,1.000000000000001,exact,True,0.005993843078613281,195,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,20,69,6,0.9130434782608696,1.0,exact,True,0.024979114532470703,195,0,0.0,0.0,0.0,1.0,9.0,37.0,6.0,864.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,20,66,66,0.0,0.9999999999999988,exact,True,0.0010008811950683594,295,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,20,66,54,0.18181818181818177,0.9999999999999988,exact,True,0.00701451301574707,295,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,20,66,10,0.8484848484848485,0.9999999999999984,exact,True,0.02398371696472168,295,1,0.0,0.0,0.0,0.0,10.0,29.0,6.0,787.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,20,72,70,0.02777777777777779,0.9999999999999992,exact,True,0.0019979476928710938,395,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,20,72,64,0.11111111111111116,0.9999999999999992,exact,True,0.005124330520629883,395,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,20,72,11,0.8472222222222222,0.9999999999999988,exact,True,0.025067806243896484,395,2,0.0,0.0,0.0,0.0,10.0,39.0,11.0,839.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,35,131,130,0.007633587786259555,1.0,exact,True,0.0019953250885009766,210,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,35,131,97,0.2595419847328244,1.0,exact,True,0.03299736976623535,210,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,35,131,9,0.9312977099236641,0.9999999999999992,exact,True,0.059720516204833984,210,0,0.0,0.0,0.0,0.0,22.0,67.0,10.0,2138.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,35,121,121,0.0,1.0000000000000004,exact,True,0.0020003318786621094,310,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,35,121,99,0.18181818181818177,1.0000000000000004,exact,True,0.02084946632385254,310,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,35,121,7,0.9421487603305785,0.9999999999999998,exact,True,0.05456876754760742,310,1,0.0,0.0,0.0,1.0,17.0,67.0,12.0,1962.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,35,110,109,0.009090909090909038,1.0000000000000009,exact,True,0.0020492076873779297,410,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,35,110,88,0.19999999999999996,1.0000000000000009,exact,True,0.02283310890197754,410,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,35,110,10,0.9090909090909091,0.9999999999999992,exact,True,0.07462596893310547,410,2,0.0,0.0,0.0,0.0,15.0,61.0,10.0,1800.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,50,164,163,0.0060975609756097615,1.000000000000003,exact,True,0.0035123825073242188,225,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,50,164,132,0.19512195121951215,1.000000000000003,exact,True,0.0561063289642334,225,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,template_phase2b,IQP,3,3,50,164,9,0.9451219512195121,1.0000000000000009,exact,True,0.07790732383728027,225,0,0.0,0.0,0.0,0.0,23.0,94.0,9.0,2704.0
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,greedy_phase1,IQP,3,3,50,166,161,0.030120481927710885,1.0000000000000009,exact,True,0.007079362869262695,325,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_20260720_155450,depth,commutation_phase2a,IQP,3,3,50,166,136,0.1807228915662651,1.0000000000000009,exact,True,0.06538772583007812,325,1,,,,,,,,
