experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,25,225,225,0.0,0.9999999999999836,exact,True,0.0,260,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,25,225,219,0.026666666666666616,0.999999999999984,exact,True,0.015025854110717773,260,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,25,225,192,0.1466666666666666,0.999999999999984,exact,True,0.14111900329589844,260,0,0.0,0.0,0.0,1.0,3.0,25.0,382.0,292.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,25,225,225,0.0,0.9999999999999836,exact,True,0.004114389419555664,360,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,25,225,213,0.053333333333333344,0.9999999999999849,exact,True,0.02297377586364746,360,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,25,225,192,0.1466666666666666,0.9999999999999853,exact,True,0.18326282501220703,360,1,0.0,0.0,0.0,3.0,3.0,21.0,458.0,304.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,25,225,225,0.0,0.9999999999999791,exact,True,0.0020036697387695312,460,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,25,225,221,0.01777777777777778,0.99999999999998,exact,True,0.025861024856567383,460,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,25,225,192,0.1466666666666666,0.9999999999999827,exact,True,0.11018776893615723,460,2,0.0,1.0,0.0,2.0,0.0,27.0,255.0,382.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,30,270,270,0.0,0.9999999999999778,exact,True,0.004011869430541992,265,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,30,270,258,0.0444444444444444,0.9999999999999791,exact,True,0.0591890811920166,265,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,30,270,235,0.12962962962962965,0.9999999999999813,exact,True,0.16357135772705078,265,0,0.0,1.0,0.0,4.0,2.0,21.0,336.0,251.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,30,270,270,0.0,0.9999999999999805,exact,True,0.00652003288269043,365,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,30,270,258,0.0444444444444444,0.999999999999982,exact,True,0.04335904121398926,365,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,30,270,227,0.1592592592592592,0.9999999999999827,exact,True,0.20490717887878418,365,1,1.0,0.0,0.0,4.0,2.0,31.0,547.0,453.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,30,270,270,0.0,0.999999999999976,exact,True,0.0029816627502441406,465,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,30,270,250,0.07407407407407407,0.9999999999999785,exact,True,0.0923304557800293,465,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,30,270,238,0.11851851851851847,0.9999999999999789,exact,True,0.14690876007080078,465,2,1.0,1.0,0.0,5.0,4.0,12.0,286.0,220.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,40,360,360,0.0,0.9999999999999762,exact,True,0.007292747497558594,275,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,40,360,350,0.02777777777777779,0.9999999999999771,exact,True,0.07790970802307129,275,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,40,360,308,0.1444444444444445,0.9999999999999791,exact,True,0.3618628978729248,275,0,0.0,1.0,0.0,3.0,3.0,38.0,861.0,633.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,40,360,360,0.0,0.999999999999971,exact,True,0.0040056705474853516,375,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,40,360,340,0.05555555555555558,0.9999999999999725,exact,True,0.09602546691894531,375,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,40,360,300,0.16666666666666663,0.9999999999999756,exact,True,0.28519225120544434,375,1,1.0,0.0,0.0,7.0,4.0,38.0,596.0,602.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,40,360,360,0.0,0.9999999999999661,exact,True,0.0060024261474609375,475,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,40,360,338,0.061111111111111116,0.999999999999969,exact,True,0.11577343940734863,475,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,40,360,300,0.16666666666666663,0.9999999999999708,exact,True,0.2419447898864746,475,2,1.0,4.0,0.0,9.0,3.0,28.0,717.0,483.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,45,405,405,0.0,0.9999999999999751,exact,True,0.021157503128051758,280,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,45,405,395,0.024691358024691357,0.9999999999999751,exact,True,0.0504763126373291,280,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,45,405,365,0.09876543209876543,0.999999999999976,exact,True,0.14561796188354492,280,0,0.0,0.0,0.0,1.0,4.0,30.0,347.0,338.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,45,405,405,0.0,0.9999999999999681,exact,True,0.0,380,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,45,405,381,0.059259259259259234,0.9999999999999712,exact,True,0.08433842658996582,380,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,45,405,353,0.1283950617283951,0.9999999999999729,exact,True,0.24276280403137207,380,1,0.0,2.0,0.0,7.0,3.0,28.0,507.0,459.0
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,greedy_phase1,Universal,9,9,45,405,405,0.0,0.9999999999999615,exact,True,0.015463113784790039,480,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,commutation_phase2a,Universal,9,9,45,405,387,0.0444444444444444,0.9999999999999644,exact,True,0.10562634468078613,480,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill2_20260721_052843,depth_fill2,template_phase2b,Universal,9,9,45,405,355,0.12345679012345678,0.9999999999999666,exact,True,0.2541053295135498,480,2,2.0,1.0,0.0,7.0,2.0,30.0,961.0,461.0
