experiment,run_id,chunk,optimizer,circuit_family,n_qubits,param_n,depth,original_size,optimized_size,reduction,fidelity,fidelity_method,success,runtime_seconds,seed,trial,template_rewrites,cz_conversions,mcz_conversions,hh_cancellations,local_cancellations,phase_merges,h_reorders,pair_gathers
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,20,97,97,0.0,1.0,exact,True,0.0009980201721191406,205,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,20,97,79,0.18556701030927836,1.0,exact,True,0.013510942459106445,205,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,20,97,12,0.8762886597938144,0.9999999999999991,exact,True,0.03428244590759277,205,0,0.0,0.0,0.0,0.0,14.0,50.0,5.0,1368.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,20,105,105,0.0,1.0,exact,True,0.0010044574737548828,305,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,20,105,89,0.1523809523809524,1.0,exact,True,0.013395547866821289,305,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,20,105,14,0.8666666666666667,0.9999999999999988,exact,True,0.04069995880126953,305,1,0.0,0.0,0.0,0.0,12.0,56.0,21.0,1786.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,20,90,90,0.0,0.9999999999999988,exact,True,0.0010037422180175781,405,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,20,90,86,0.0444444444444444,0.9999999999999988,exact,True,0.004998683929443359,405,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,20,90,14,0.8444444444444444,0.9999999999999983,exact,True,0.03517031669616699,405,2,0.0,0.0,0.0,0.0,11.0,47.0,23.0,1446.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,35,171,171,0.0,1.0000000000000018,exact,True,0.0010001659393310547,220,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,35,171,145,0.15204678362573099,1.0000000000000018,exact,True,0.030316591262817383,220,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,35,171,11,0.935672514619883,1.0,exact,True,0.07053160667419434,220,0,0.0,1.0,0.0,0.0,27.0,93.0,41.0,3021.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,35,170,170,0.0,1.0000000000000009,exact,True,0.0033063888549804688,320,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,35,170,154,0.09411764705882353,1.0000000000000009,exact,True,0.03180646896362305,320,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,35,170,14,0.9176470588235294,0.9999999999999991,exact,True,0.07007145881652832,320,1,0.0,0.0,0.0,0.0,24.0,97.0,12.0,2877.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,35,167,166,0.005988023952095856,1.0000000000000024,exact,True,0.0031495094299316406,420,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,35,167,135,0.19161676646706582,1.0000000000000024,exact,True,0.03704261779785156,420,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,35,167,11,0.9341317365269461,1.0,exact,True,0.06739234924316406,420,2,0.0,1.0,0.0,0.0,28.0,86.0,22.0,2725.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,50,238,238,0.0,1.0000000000000033,exact,True,0.0019941329956054688,235,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,50,238,206,0.134453781512605,1.0000000000000033,exact,True,0.05520987510681152,235,0,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,50,238,12,0.9495798319327731,1.0000000000000009,exact,True,0.09848642349243164,235,0,0.0,0.0,0.0,0.0,40.0,131.0,14.0,4250.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,50,244,243,0.004098360655737654,1.0000000000000042,exact,True,0.005005598068237305,335,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,50,244,210,0.139344262295082,1.0000000000000033,exact,True,0.06881093978881836,335,1,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,template_phase2b,IQP,4,4,50,244,12,0.9508196721311475,1.0000000000000004,exact,True,0.10327601432800293,335,1,0.0,0.0,0.0,0.0,41.0,133.0,11.0,4421.0
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,greedy_phase1,IQP,4,4,50,235,235,0.0,1.000000000000005,exact,True,0.002999544143676758,435,2,,,,,,,,
E26_phase2b_full_v8,e26v8_depth_fill_20260721_032245,depth_fill,commutation_phase2a,IQP,4,4,50,235,199,0.15319148936170213,1.000000000000005,exact,True,0.06820917129516602,435,2,,,,,,,,
