schema_version,experiment_id,run_id,timestamp_utc,circuit_id,circuit_family,n_qubits,topology,n_edges,baseline_gate_count,optimized_gate_count,reduction,reduction_pct,depth_reduction,two_qubit_reduction,cnot_reduction,fidelity,runtime_seconds,optimizer,seed,trial,source_file,source_sha256,input_circuit_sha256,output_circuit_sha256,notes,status,error_message,error_type
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.062486+00:00,qft_3,QFT,3,linear,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0010094642639160156,greedy_phase1,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.068508+00:00,qft_3,QFT,3,linear,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.004013538360595703,commutation_phase2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.075539+00:00,qft_3,QFT,3,linear,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005023479461669922,hybrid_phase1_2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.083569+00:00,qft_3,QFT,3,grid,2.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0020067691802978516,greedy_phase1,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.089586+00:00,qft_3,QFT,3,grid,2.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002004861831665039,commutation_phase2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.100629+00:00,qft_3,QFT,3,grid,2.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.011043310165405273,hybrid_phase1_2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,7993aa8b2d92faa6776ee1020027eea1c24b83e2b9bd36892034b806824c3f4f,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.105683+00:00,qft_3,QFT,3,heavy_hex,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,greedy_phase1,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.105683+00:00,qft_3,QFT,3,heavy_hex,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,commutation_phase2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.105683+00:00,qft_3,QFT,3,heavy_hex,2.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,hybrid_phase1_2,42.0,0.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,f81167246a37f91da366946fcfdd221578b1fc5b101eee034c7486b7b78d9c12,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.126355+00:00,ghz_3,GHZ,3,linear,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,greedy_phase1,42.0,1.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.126355+00:00,ghz_3,GHZ,3,linear,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,commutation_phase2,42.0,1.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.128754+00:00,ghz_3,GHZ,3,linear,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002398967742919922,hybrid_phase1_2,42.0,1.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,82851b383513059aba870adcc5fff8b5a3515f2c01b6acce353b80d2ea3fdfd1,,ok,,
2.0.0,E17,e17_smoke_20260721_053607,2026-07-21T05:36:09.133595+00:00,ghz_3,GHZ,3,grid,2.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,greedy_phase1,42.0,1.0,experiments/e17_connectivity/run.py,e09a832a5b5f47e43f4233724df75c68834d7e89746a6b319ac61179c93a3ddd,d0445bec8e11f1c00296d4c9a7649363a590ab005d1addad07d6947644d1c4e9,d0445bec8e11f1c00296d4c9a7649363a590ab005d1addad07d6947644d1c4e9,,ok,,
