schema_version,experiment_id,run_id,timestamp_utc,mode,n_qubits,depth,trial,seed,optimizer,listing_model,wire_traversal,original_size,optimized_size,reduction,fidelity,runtime_seconds,success
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.562764+00:00,full,5,1,0,42000100,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.001997232437133789,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.564764+00:00,full,5,1,0,42000100,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.002000570297241211,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.565764+00:00,full,5,1,1,42000101,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0000000000000004,0.0009996891021728516,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.566764+00:00,full,5,1,1,42000101,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0000000000000004,0.00099945068359375,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.568764+00:00,full,5,1,2,42000102,greedy_gate_cancellation,LBL,False,5,5,0.0,1.0,0.0010001659393310547,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.570770+00:00,full,5,1,2,42000102,greedy_gate_cancellation,WCL,True,5,5,0.0,1.0,0.002006053924560547,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.572768+00:00,full,5,1,3,42000103,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0010023117065429688,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.573979+00:00,full,5,1,3,42000103,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999998,0.0012106895446777344,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.575985+00:00,full,5,1,4,42000104,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0010001659393310547,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.576984+00:00,full,5,1,4,42000104,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0009989738464355469,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.577984+00:00,full,5,1,5,42000105,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999996,0.0010001659393310547,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.578985+00:00,full,5,1,5,42000105,greedy_gate_cancellation,WCL,True,5,5,0.0,0.9999999999999996,0.0010004043579101562,True
1.1.0,WCL-E19,e19_full_20260721_071617,2026-07-21T07:16:17.581988+00:00,full,5,1,6,42000106,greedy_gate_cancellation,LBL,False,5,5,0.0,0.9999999999999998,0.0020046234130859375,True
