family,n_qubits,trial,naive_ms,ca_ms,naive_red,ca_red,p1_skipped,p2_skipped,m_gates
CNOT,4,0,1.1663000004773494,1.4368000011018012,1.0,1.0,False,True,24
CNOT,4,1,0.8015999992494471,0.6665999990218552,1.0,1.0,False,True,24
CNOT,4,2,0.6671999999525724,0.6534000003739493,1.0,1.0,False,True,24
CNOT,6,0,1.6048999987106072,0.8899999993445817,1.0,1.0,False,True,40
CNOT,6,1,1.3412999996944563,1.3283000007504597,1.0,1.0,False,True,40
CNOT,6,2,1.437499999155989,1.635099999475642,1.0,1.0,False,True,40
CNOT,8,0,1.961400001164293,1.2193999991723103,1.0,1.0,False,True,56
CNOT,8,1,1.319500001045526,1.2672000011662021,1.0,1.0,False,True,56
CNOT,8,2,0.887700000021141,0.9718000001157634,1.0,1.0,False,True,56
CNOT,10,0,0.9866999989753822,1.5590000002703164,1.0,1.0,False,True,72
CNOT,10,1,1.9978000000264728,2.6486999995540828,1.0,1.0,False,True,72
CNOT,10,2,2.1096000000397908,2.513000001272303,1.0,1.0,False,True,72
QuantumWalk,4,0,5.975299998681294,4.995799999960582,0.0,0.0,True,True,58
QuantumWalk,4,1,6.132600001365063,4.958099998475518,0.0,0.0,True,True,58
QuantumWalk,4,2,7.744500000626431,3.1607999990228564,0.0,0.0,True,True,58
QuantumWalk,6,0,10.756399999081623,5.897099999856437,0.0,0.0,True,True,82
QuantumWalk,6,1,10.979800001223339,4.384399999253219,0.0,0.0,True,True,82
QuantumWalk,6,2,9.017700000185869,3.704800001287367,0.0,0.0,True,True,82
QuantumWalk,8,0,13.109899999108166,4.424000000653905,0.0,0.0,True,True,106
QuantumWalk,8,1,11.608000000705943,5.060900000898982,0.0,0.0,True,True,106
QuantumWalk,8,2,12.83049999983632,9.461400000873255,0.0,0.0,True,True,106
QuantumWalk,10,0,17.827300000135438,7.79559999864432,0.0,0.0,True,True,130
QuantumWalk,10,1,18.161199999667588,8.516300000337651,0.0,0.0,True,True,130
QuantumWalk,10,2,15.372899999420042,10.859399999390007,0.0,0.0,True,True,130
VQE,4,0,4.901399999653222,1.6529000004084082,0.0,0.0,True,True,19
VQE,4,1,4.774799999722745,0.8626999988337047,0.0,0.0,True,True,19
VQE,4,2,4.572200001348392,1.726000000417116,0.0,0.0,True,True,19
VQE,6,0,5.9397999993962,2.3158000003604684,0.0,0.0,True,True,29
VQE,6,1,4.212899999401998,1.2212999990879325,0.0,0.0,True,True,29
VQE,6,2,7.446100000379374,2.5057999991986435,0.0,0.0,True,True,29
VQE,8,0,5.473999999594525,2.8359000007185386,0.0,0.0,True,True,39
VQE,8,1,8.747500000026776,2.666000000317581,0.0,0.0,True,True,39
VQE,8,2,8.944400000473252,1.5625000014551915,0.0,0.0,True,True,39
VQE,10,0,9.749699998792494,3.2864000004337868,0.0,0.0,True,True,49
VQE,10,1,6.835500000306638,3.104600000369828,0.0,0.0,True,True,49
VQE,10,2,10.330999999496271,3.5088999993604375,0.0,0.0,True,True,49
RandomClifford,4,0,5.744300000515068,7.43270000020857,0.1333333333333333,0.1333333333333333,True,False,30
RandomClifford,4,1,5.230499999015592,3.4515000006649643,0.16666666666666663,0.16666666666666663,True,False,24
RandomClifford,4,2,5.583899999692221,5.097299999761162,0.1875,0.1875,True,False,32
RandomClifford,6,0,6.515299999591662,7.124800000383402,0.20512820512820518,0.20512820512820518,True,False,39
RandomClifford,6,1,8.247499999924912,9.865400001217495,0.3414634146341463,0.3414634146341463,True,False,41
RandomClifford,6,2,7.950199998958851,9.800699999686913,0.13043478260869568,0.13043478260869568,True,False,46
RandomClifford,8,0,11.8798000003153,12.253200000486686,0.12903225806451613,0.12903225806451613,True,False,62
RandomClifford,8,1,13.230700000349316,9.441999998671236,0.17543859649122806,0.17543859649122806,True,False,57
RandomClifford,8,2,10.65539999945031,10.263899999699788,0.2807017543859649,0.2807017543859649,True,False,57
RandomClifford,10,0,19.6049000005587,19.338200001584482,0.37142857142857144,0.37142857142857144,True,False,70
RandomClifford,10,1,10.403000000223983,9.854100000666222,0.09999999999999998,0.09999999999999998,True,False,80
RandomClifford,10,2,19.681499999933294,17.216000000189524,0.15384615384615385,0.15384615384615385,True,False,78
QFT,4,0,7.191500000772066,1.0111999999935506,0.0,0.0,True,True,10
QFT,4,1,4.20029999986582,0.6709000008413568,0.0,0.0,True,True,10
QFT,4,2,3.673799999887706,1.6231000008701812,0.0,0.0,True,True,10
QFT,6,0,11.983200000031502,1.5114999987417832,0.0,0.0,True,True,21
QFT,6,1,11.813900000561262,1.8125999995390885,0.0,0.0,True,True,21
QFT,6,2,13.327999999091844,1.2507999999797903,0.0,0.0,True,True,21
QFT,8,0,18.85009999932663,2.361699998800759,0.0,0.0,True,True,36
QFT,8,1,24.79029999994964,1.4960000007704366,0.0,0.0,True,True,36
QFT,8,2,19.850099999530357,1.3251999989734031,0.0,0.0,True,True,36
QFT,10,0,40.459700001520105,2.002600000196253,0.0,0.0,True,True,55
QFT,10,1,35.12159999991127,1.9035000004805624,0.0,0.0,True,True,55
QFT,10,2,37.65419999945152,2.969499999380787,0.0,0.0,True,True,55
Oracle,4,0,2.266399998916313,2.2506999994220678,1.0,1.0,True,False,12
Oracle,4,1,2.5153000005957438,2.5132000009762123,0.2857142857142857,0.2857142857142857,True,False,14
Oracle,4,2,2.3629999996046536,2.643300000272575,0.2857142857142857,0.2857142857142857,True,False,14
Oracle,6,0,4.598499999701744,4.436499999428634,0.4444444444444444,0.4444444444444444,True,False,18
Oracle,6,1,4.075599999850965,3.2460999991599238,0.3157894736842105,0.3157894736842105,True,False,19
Oracle,6,2,4.155100001298706,4.145900000366964,0.3157894736842105,0.3157894736842105,True,False,19
Oracle,8,0,3.3733000000211177,1.552700001411722,0.0,0.0,True,True,27
Oracle,8,1,3.2047000004240545,1.8364000006840797,0.0,0.0,True,True,24
Oracle,8,2,3.5005000008823117,1.658799999859184,0.0,0.0,True,True,24
Oracle,10,0,3.914999999324209,1.3560999996116152,0.0,0.0,True,True,29
Oracle,10,1,2.7353000004950445,2.0426999999472173,0.0,0.0,True,True,29
Oracle,10,2,3.8413000002037734,1.704500000414555,0.0,0.0,True,True,28
