experiment,source,n,min,q1,median,q3,max,mean,std,iqr,skewness,kurtosis,missing,n_below_0.999999,n_below_0.99,n_equal_0,n_out_of_range
E1,data/v2_fixed/e01/e01_phase_transition_v2_20260613_132653.csv,25000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,22
E2,data/v2_fixed/e02/e02_entanglement_density_v2_20260613_130455.csv,2100,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,1
E3,data/v2_fixed/e03/e03_scaling_v2_20260611_224540.csv,12000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99683333,0.05618631,0.00000000,-17.68815609,310.92268637,0,38,38,38,23
E4,data/v2_fixed/e04/e04_algorithm_comparison_v2_20260613_132653.csv,400,0.99472433,1.00000000,1.00000000,1.00000000,1.00000000,0.99998136,0.00028016,0.00000000,-17.38219410,317.34986460,0,3,0,0,0
E5,data/v2_fixed/e05/e05_landscape_v2_20260613_130355.csv,6000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,138
E10,data/v5/e10/e10_expanded_phase1_vs_phase2_20260613_131601.csv,1905,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,174
E11,data/v4/e11/e11_merged_powered.csv,519,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.97687861,0.15043401,0.00000000,-6.36456333,38.65661833,0,12,12,12,45
E12,data/v4/e12/e12_compiler_baseline_e12_full_20260626_000134_nocoupling.csv,440,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,128,0,0,0,54
E14,data/v5/e14/e14_extended_benchmark_e14_full_20260611_114726.csv,2130,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.99061033,0.09646696,0.00000000,-10.18113203,101.75098940,0,20,20,20,210
E15,data/v5/e15/e15_multi_compiler_e15_full_20260611_150934.csv,866,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,128,0,0,0,96
E16,data/v5/e16/e16_window_scaling_e16_full_20260610_142547.csv,696,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,56
E17,data/v5/e17/e17_connectivity_e17_full_20260610_150935.csv,741,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,14,0,0,0,30
E18,data/v5/e18/e18_clifford_t_e18_full_20260610_052140.csv,192,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.78125000,0.41447942,0.00000000,-1.37140958,-0.12060119,78,42,42,42,0
E19,data/v6/e19/e19_wcl_listing_full_e19_full_20260620_123825.csv,10000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,9
E23,data/v7/e23,160,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0
E24,data/v7/e24/e24_theorem7_results.csv,75,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0,0
