optimizer,seed_base,n,mean_reduction,std_reduction,median_reduction,min_reduction,max_reduction,bootstrap_ci_lo,bootstrap_ci_hi,per_seed_mean_std,per_seed_mean_range
hybrid,42,100,0.049866666666666656,0.03568763347352296,0.053333333333333344,0.0,0.16000000000000003,0.04292666666666664,0.05679999999999999,,
hybrid,142,100,0.041866666666666656,0.03679750150109085,0.026666666666666616,0.0,0.18666666666666665,0.03493333333333332,0.04906666666666666,,
hybrid,242,100,0.044533333333333314,0.03391254349146649,0.026666666666666616,0.0,0.16000000000000003,0.037866666666666646,0.05120666666666662,,
hybrid,342,100,0.05013333333333331,0.03310331411147136,0.053333333333333344,0.0,0.1333333333333333,0.043733333333333305,0.05653333333333332,,
hybrid,442,100,0.046399999999999976,0.030703242717273045,0.053333333333333344,0.0,0.1333333333333333,0.040266666666666645,0.05253333333333332,,
hybrid,542,100,0.04533333333333332,0.03315101656042992,0.03999999999999998,0.0,0.1333333333333333,0.03919999999999998,0.05200666666666661,,
hybrid,642,100,0.04799999999999998,0.03125507815081006,0.053333333333333344,0.0,0.1333333333333333,0.04213333333333332,0.05413333333333331,,
hybrid,742,100,0.04826666666666665,0.03297613325965764,0.053333333333333344,0.0,0.16000000000000003,0.041866666666666656,0.05439999999999998,,
hybrid,842,100,0.04506666666666666,0.03784450435056381,0.053333333333333344,0.0,0.1333333333333333,0.03759999999999998,0.052799999999999986,,
hybrid,942,100,0.04799999999999998,0.03325917677132393,0.053333333333333344,0.0,0.1333333333333333,0.041866666666666635,0.05413333333333333,,
hybrid,POOLED,1000,0.046746666666666645,0.033874063282611756,0.053333333333333344,0.0,0.18666666666666665,0.04466666666666665,0.04882733333333331,0.0024557958655664603,0.008266666666666651
rls,42,100,-1.7559999999999996,0.10628720382515339,-1.7733333333333332,-2.026666666666667,-1.52,-1.7768000000000002,-1.7351933333333331,,
rls,142,100,-1.741866666666667,0.12902841629268677,-1.7333333333333334,-2.026666666666667,-1.3333333333333335,-1.7658733333333334,-1.7170666666666665,,
rls,242,100,-1.7589333333333335,0.11749239295288752,-1.7333333333333334,-2.0,-1.4933333333333332,-1.7826666666666666,-1.7357333333333338,,
rls,342,100,-1.7682666666666664,0.14190343059248758,-1.7599999999999998,-2.1066666666666665,-1.44,-1.7981400000000003,-1.7413333333333332,,
rls,442,100,-1.7533333333333334,0.1149869460214119,-1.7599999999999998,-2.026666666666667,-1.4666666666666668,-1.775473333333334,-1.7306599999999999,,
rls,542,100,-1.7767999999999997,0.11418959562323129,-1.7866666666666666,-2.0533333333333332,-1.44,-1.7997333333333332,-1.7549333333333335,,
rls,642,100,-1.7730666666666668,0.10743795223405424,-1.7733333333333332,-2.08,-1.52,-1.794133333333333,-1.7519999999999998,,
rls,742,100,-1.7573333333333332,0.11623730516108464,-1.7599999999999998,-2.026666666666667,-1.3866666666666667,-1.7792,-1.7354599999999998,,
rls,842,100,-1.7648,0.12095423070701548,-1.7466666666666666,-2.0533333333333332,-1.4666666666666668,-1.7882666666666664,-1.7416000000000003,,
rls,942,100,-1.7536,0.10192279378164577,-1.7333333333333334,-2.0,-1.4666666666666668,-1.7738666666666663,-1.7341266666666666,,
rls,POOLED,1000,-1.7604000000000002,0.11745501319470794,-1.7599999999999998,-2.1066666666666665,-1.3333333333333335,-1.7676806666666667,-1.7530393333333332,0.009905688601337365,0.03493333333333282
sa,42,100,-0.21066666666666667,0.09614803401237304,-0.18666666666666676,-0.56,-0.05333333333333323,-0.22960000000000005,-0.1917333333333333,,
sa,142,100,-0.2256,0.09584274437760873,-0.21333333333333337,-0.5066666666666666,-0.08000000000000007,-0.24506666666666665,-0.20666666666666667,,
sa,242,100,-0.2128,0.09663092338136563,-0.21333333333333337,-0.5066666666666666,-0.05333333333333323,-0.23146666666666665,-0.19440000000000002,,
sa,342,100,-0.21573333333333333,0.0975273192610392,-0.21333333333333337,-0.56,0.026666666666666616,-0.2346666666666667,-0.19812666666666667,,
sa,442,100,-0.23866666666666667,0.10465270446667181,-0.21333333333333337,-0.6133333333333333,0.026666666666666616,-0.2605333333333333,-0.2181266666666667,,
sa,542,100,-0.2096,0.0844142423395739,-0.18666666666666676,-0.42666666666666675,-0.08000000000000007,-0.22666666666666666,-0.19386666666666666,,
sa,642,100,-0.20853333333333332,0.09546427399518423,-0.18666666666666676,-0.45333333333333337,0.026666666666666616,-0.22719999999999996,-0.1909333333333333,,
sa,742,100,-0.22826666666666665,0.09613458579438819,-0.21333333333333337,-0.5333333333333334,-0.08000000000000007,-0.24720666666666669,-0.2093333333333333,,
sa,842,100,-0.2216,0.10864792963991204,-0.21333333333333337,-0.5866666666666667,0.026666666666666616,-0.24319999999999997,-0.20133333333333334,,
sa,942,100,-0.2205333333333333,0.08716345572238408,-0.21333333333333337,-0.42666666666666675,-0.08000000000000007,-0.23787333333333335,-0.20320000000000005,,
sa,POOLED,1000,-0.21919999999999998,0.09649757973133374,-0.21333333333333337,-0.6133333333333333,0.026666666666666616,-0.22530733333333336,-0.21330666666666667,0.009172713157330639,0.030133333333333345
