schema_version,experiment_id,run_id,timestamp_utc,mode,circuit_family,n_qubits,param_n,depth,gate_count,entanglement_entropy,trial,seed,optimizer,listing_model,wire_traversal,original_size,optimized_size,reduction,fidelity,success,runtime_seconds,wcl_listing_reordered,file_sha256,git_commit
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:07.929124+00:00,full,Universal,4,4,34,80,1.1727229135004136,0,46,greedy_gate_cancellation,LBL,False,80,80,0.0,0.999999999999995,True,0.016003131866455078,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:07.948636+00:00,full,Universal,4,4,34,80,1.1727229135004136,0,46,greedy_gate_cancellation,WCL,True,80,76,0.050000000000000044,0.9999999999999954,True,0.018511295318603516,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:08.012109+00:00,full,Universal,6,6,34,120,1.4764327938203494,0,48,greedy_gate_cancellation,LBL,False,120,120,0.0,0.9999999999999934,True,0.04322361946105957,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:08.058117+00:00,full,Universal,6,6,34,120,1.4764327938203494,0,48,greedy_gate_cancellation,WCL,True,120,111,0.07499999999999996,0.9999999999999939,True,0.04400801658630371,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:08.543275+00:00,full,Universal,8,8,33,160,2.6447748174461596,0,50,greedy_gate_cancellation,LBL,False,160,160,0.0,0.9999999999999876,True,0.46070408821105957,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:08.963201+00:00,full,Universal,8,8,33,160,2.6447748174461596,0,50,greedy_gate_cancellation,WCL,True,160,152,0.050000000000000044,0.9999999999999885,True,0.4199259281158447,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:08.989295+00:00,full,Universal,4,4,31,80,1.2286863075309422,1,1046,greedy_gate_cancellation,LBL,False,80,80,0.0,0.9999999999999908,True,0.013092994689941406,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:09.005294+00:00,full,Universal,4,4,31,80,1.2286863075309422,1,1046,greedy_gate_cancellation,WCL,True,80,76,0.050000000000000044,0.999999999999992,True,0.015000581741333008,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:09.062404+00:00,full,Universal,6,6,34,120,1.3787430020542677,1,1048,greedy_gate_cancellation,LBL,False,120,120,0.0,0.9999999999999917,True,0.03810930252075195,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:09.112932+00:00,full,Universal,6,6,34,120,1.3787430020542677,1,1048,greedy_gate_cancellation,WCL,True,120,114,0.050000000000000044,0.9999999999999912,True,0.04852795600891113,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:09.634729+00:00,full,Universal,8,8,34,160,1.716795642568349,1,1050,greedy_gate_cancellation,LBL,False,160,160,0.0,0.999999999999988,True,0.49524879455566406,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:10.127294+00:00,full,Universal,8,8,34,160,1.716795642568349,1,1050,greedy_gate_cancellation,WCL,True,160,157,0.018750000000000044,0.999999999999988,True,0.4915745258331299,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:10.161135+00:00,full,Universal,4,4,30,80,1.0881594557068361,2,2046,greedy_gate_cancellation,LBL,False,80,80,0.0,0.9999999999999941,True,0.016992568969726562,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:10.192125+00:00,full,Universal,4,4,30,80,1.0881594557068361,2,2046,greedy_gate_cancellation,WCL,True,80,74,0.07499999999999996,0.9999999999999941,True,0.023999691009521484,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:10.258220+00:00,full,Universal,6,6,30,120,1.5653307936412202,2,2048,greedy_gate_cancellation,LBL,False,120,120,0.0,0.9999999999999903,True,0.04409456253051758,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:10.305247+00:00,full,Universal,6,6,30,120,1.5653307936412202,2,2048,greedy_gate_cancellation,WCL,True,120,115,0.04166666666666663,0.9999999999999917,True,0.04602694511413574,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:10.736592+00:00,full,Universal,8,8,34,160,1.7009025915228104,2,2050,greedy_gate_cancellation,LBL,False,160,160,0.0,0.9999999999999885,True,0.40644335746765137,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:11.175108+00:00,full,Universal,8,8,34,160,1.7009025915228104,2,2050,greedy_gate_cancellation,WCL,True,160,149,0.06874999999999998,0.9999999999999889,True,0.4355168342590332,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:11.205441+00:00,full,Universal,4,4,30,80,1.087754852981564,3,3046,greedy_gate_cancellation,LBL,False,80,80,0.0,0.9999999999999939,True,0.01733231544494629,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
1.1.0,E27_wcl_full_family,e27_full_20260718_122807,2026-07-18T12:28:11.228439+00:00,full,Universal,4,4,30,80,1.087754852981564,3,3046,greedy_gate_cancellation,WCL,True,80,74,0.07499999999999996,0.9999999999999948,True,0.020998716354370117,True,7052c9b27e53972b6bb524e8126ed5325fee4a9ff83a50cf2ee9eacef2252ba3,8f41dbcfd681b95b99b94405645c2ab4e46f16af
